symbol,datetime,high,low,open,close
R_100,2022.01.10 01:34:00,8508.36,8491.52,8505.48,8493.17
R_100,2022.01.10 01:35:00,8497.65,8486.83,8494.12,8495.23
R_100,2022.01.10 01:36:00,8502.66,8490.83,8494.62,8497.93
R_100,2022.01.10 01:37:00,8508.82,8496.97,8496.97,8500.53
R_100,2022.01.10 01:38:00,8497.92,8486.64,8495.32,8489.85
R_100,2022.01.10 01:39:00,8489.2,8473.62,8489.2,8473.62
R_100,2022.01.10 01:40:00,8474.32,8461.32,8473.25,8474.32
R_100,2022.01.10 01:41:00,8484.15,8471.3,8475.15,8476.97
R_100,2022.01.10 01:42:00,8474.58,8461.13,8474.58,8464.18
R_100,2022.01.10 01:43:00,8474.79,8456.17,8463.81,8471.55
R_100,2022.01.10 01:44:00,8474.75,8466.43,8473.74,8467.21
R_100,2022.01.10 01:45:00,8470.58,8452.14,8466.23,8470.58
R_100,2022.01.10 01:46:00,8483.68,8468.69,8470.58,8480.93
R_100,2022.01.10 01:47:00,8494.67,8482.88,8482.88,8489.72
R_100,2022.01.10 01:48:00,8497.41,8485.56,8487.86,8488.53
R_100,2022.01.10 01:49:00,8491.41,8477.64,8486.75,8488.48
R_100,2022.01.10 01:50:00,8503.39,8489.85,8490.65,8502.05
R_100,2022.01.10 01:51:00,8502.74,8482.58,8502.74,8492.98
R_100,2022.01.10 01:52:00,8495.3,8484.15,8489.83,8495.3
R_100,2022.01.10 01:53:00,8507.01,8494.1,8494.1,8500.83
R_100,2022.01.10 01:54:00,8505.17,8495.78,8501.06,8500.29
R_100,2022.01.10 01:55:00,8502.23,8488.66,8496.81,8490.01
R_100,2022.01.10 01:56:00,8494.28,8480.15,8486.68,8494.28
R_100,2022.01.10 01:57:00,8500.48,8489.6,8493.43,8495.4
R_100,2022.01.10 01:58:00,8510.33,8495.52,8496.28,8504.83
R_100,2022.01.10 01:59:00,8509.7,8500.24,8505.71,8502.42
R_100,2022.01.10 02:00:00,8505.26,8487.54,8503.59,8492.42
R_100,2022.01.10 02:01:00,8499.27,8485.29,8493.07,8488.34
R_100,2022.01.10 02:02:00,8494.5,8484.3,8486.02,8490.83
R_100,2022.01.10 02:03:00,8493.84,8482.68,8492.16,8482.68
R_100,2022.01.10 02:04:00,8492.39,8479.49,8484.16,8492.39
R_100,2022.01.10 02:05:00,8498.59,8486.76,8490.65,8487.96
R_100,2022.01.10 02:06:00,8491.64,8482.33,8486.26,8486.22
R_100,2022.01.10 02:07:00,8494.99,8482.3,8486.63,8494.99
R_100,2022.01.10 02:08:00,8509.77,8487.32,8491.91,8508.08
R_100,2022.01.10 02:09:00,8526.52,8508.82,8508.82,8516.65
R_100,2022.01.10 02:10:00,8515.38,8491.27,8514.83,8494.97
R_100,2022.01.10 02:11:00,8496.72,8481.15,8496.72,8493.92
R_100,2022.01.10 02:12:00,8502.81,8490.64,8491.53,8497.45
R_100,2022.01.10 02:13:00,8500.24,8476.91,8500.24,8479.7
R_100,2022.01.10 02:14:00,8482.21,8472.08,8481,8473.09
R_100,2022.01.10 02:15:00,8483.52,8466.57,8472.95,8480.48
R_100,2022.01.10 02:16:00,8479.59,8464.57,8478.39,8470.29
R_100,2022.01.10 02:17:00,8494.26,8467.68,8471.73,8494.26
R_100,2022.01.10 02:18:00,8495.72,8475.78,8495.72,8476.76
R_100,2022.01.10 02:19:00,8489.17,8478.08,8478.08,8483.47
R_100,2022.01.10 02:20:00,8503.4,8483.25,8486.86,8499.74
R_100,2022.01.10 02:21:00,8514.19,8498.83,8502.45,8506.95
R_100,2022.01.10 02:22:00,8509.92,8494.56,8505.31,8495.29
R_100,2022.01.10 02:23:00,8504.18,8491.31,8497.45,8491.36
R_100,2022.01.10 02:24:00,8488.1,8471.66,8488.1,8475.48
R_100,2022.01.10 02:25:00,8485.41,8463.44,8473.87,8463.44
R_100,2022.01.10 02:26:00,8469.5,8454.39,8464.25,8469.01
R_100,2022.01.10 02:27:00,8477.19,8466.78,8471.64,8477.19
R_100,2022.01.10 02:28:00,8491.52,8475.9,8477.13,8486.44
R_100,2022.01.10 02:29:00,8495.34,8469.46,8488.3,8469.76
R_100,2022.01.10 02:30:00,8482.63,8464.01,8469.7,8482.28
R_100,2022.01.10 02:31:00,8484.03,8467.14,8484.03,8469.93
R_100,2022.01.10 02:32:00,8471.95,8448.57,8469.11,8448.57
R_100,2022.01.10 02:33:00,8452.43,8437.3,8447.2,8446.11
R_100,2022.01.10 02:34:00,8446.02,8431.77,8446.02,8439.9
R_100,2022.01.10 02:35:00,8439.76,8425.8,8438.97,8431.56
R_100,2022.01.10 02:36:00,8434.26,8425.23,8429.97,8427.73
R_100,2022.01.10 02:37:00,8437.47,8426.96,8427.49,8430.85
R_100,2022.01.10 02:38:00,8435.65,8421.82,8428.47,8424.76
R_100,2022.01.10 02:39:00,8437.48,8417.21,8422.15,8437.48
R_100,2022.01.10 02:40:00,8447.3,8431.66,8434.67,8442.28
R_100,2022.01.10 02:41:00,8443.3,8419.9,8443.3,8420.34
R_100,2022.01.10 02:42:00,8423.33,8403.2,8422.6,8405.98
R_100,2022.01.10 02:43:00,8410.4,8391.09,8407.77,8391.28
R_100,2022.01.10 02:44:00,8398.8,8383.52,8391.42,8385.55
R_100,2022.01.10 02:45:00,8395.38,8382,8385.02,8389.23
R_100,2022.01.10 02:46:00,8406.71,8393.54,8393.78,8404.6
R_100,2022.01.10 02:47:00,8403.54,8383.21,8396.27,8387.47
R_100,2022.01.10 02:48:00,8399.41,8384.58,8389.5,8393.85
R_100,2022.01.10 02:49:00,8393.92,8374.52,8393.92,8375.43
R_100,2022.01.10 02:50:00,8386.79,8367.31,8374.14,8386.79
R_100,2022.01.10 02:51:00,8389.41,8371.01,8385.33,8382.96
R_100,2022.01.10 02:52:00,8405.51,8384.44,8384.44,8389.93
R_100,2022.01.10 02:53:00,8397.58,8386.56,8390.98,8389.41
R_100,2022.01.10 02:54:00,8394.36,8381.48,8391.98,8383.67
R_100,2022.01.10 02:55:00,8400.63,8383.01,8383.6,8400.63
