open,high,low,close
4479.889,4479.889,4479.394,4479.394
4479.393,4479.393,4478.768,4478.768
4478.755,4478.755,4478.221,4478.221
4478.203,4478.203,4477.589,4477.589
4477.584,4477.584,4477.103,4477.103
4477.096,4477.096,4476.55,4476.55
4476.548,4476.548,4476.034,4476.034
4476.017,4481.35,4475.443,4481.319
4481.315,4481.315,4480.749,4480.749
4480.736,4480.736,4480.243,4480.243
4480.243,4480.243,4479.781,4479.781
4479.77,4479.77,4479.229,4479.229
4479.22,4479.22,4478.726,4478.726
4478.721,4484.594,4478.456,4484.323
4484.308,4484.308,4483.861,4483.861
4483.857,4483.857,4483.306,4483.306
4483.292,4483.292,4482.715,4482.715
4482.694,4482.694,4482.106,4482.106
4482.097,4482.097,4481.563,4481.563
4481.56,4481.56,4481.068,4481.068
4481.06,4481.06,4480.553,4480.553
4480.539,4480.539,4480.053,4480.053
4480.043,4490.488,4479.787,4490.213
4490.213,4490.213,4489.641,4489.641
4489.638,4489.638,4489.024,4489.024
4489.007,4489.007,4488.439,4488.439
4488.429,4488.429,4487.859,4487.859
4487.851,4487.851,4487.374,4487.374
4487.362,4487.362,4486.828,4486.828
4486.827,4486.827,4486.321,4486.321
4486.317,4486.521,4485.955,4486.385
4486.366,4486.366,4485.892,4485.892
4485.886,4485.886,4485.316,4485.316
4485.312,4485.312,4484.734,4484.734
4484.713,4484.713,4484.134,4484.134
4484.123,4485.857,4483.852,4485.605
4485.596,4485.596,4485.136,4485.136
4485.124,4485.124,4484.478,4484.478
4484.472,4484.472,4483.875,4483.875
4483.865,4483.865,4483.386,4483.386
4483.363,4483.363,4482.904,4482.904
4482.902,4482.902,4482.372,4482.372
4482.371,4489.024,4482.006,4488.807
4488.798,4488.798,4488.232,4488.232
4488.219,4488.219,4487.713,4487.713
4487.7,4487.7,4487.189,4487.189
4487.178,4492.106,4486.888,4491.942
4491.931,4497.644,4491.838,4497.27
4497.263,4497.263,4496.73,4496.73
4496.72,4496.72,4496.23,4496.23
4496.229,4496.229,4495.738,4495.738
4495.724,4495.724,4495.229,4495.229
4495.224,4495.224,4494.683,4494.683
4494.676,4494.676,4494.207,4494.207
4494.179,4498.357,4494.134,4497.958
4497.954,4497.954,4497.471,4497.471
4497.457,4497.457,4496.892,4496.892
4496.887,4496.887,4496.446,4496.446
4496.434,4496.434,4495.887,4495.887
4495.877,4495.877,4495.306,4495.306
4495.298,4495.298,4494.718,4494.718
4494.696,4494.696,4494.235,4494.235
4494.213,4497.022,4494.127,4496.582
4496.579,4496.579,4496.048,4496.048
4496.043,4496.043,4495.595,4495.595
4495.593,4495.593,4495.063,4495.063
4495.051,4495.051,4494.464,4494.464
4494.455,4494.455,4493.879,4493.879
4493.862,4493.862,4493.299,4493.299
4493.292,4493.292,4492.741,4492.741
4492.729,4492.729,4492.25,4492.25
4492.235,4492.678,4492.117,4492.117
4492.098,4492.098,4491.587,4491.587
4491.576,4491.576,4491.027,4491.027
4491.024,4491.024,4490.527,4490.527
