W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,T8
-0.96,-6.06,-2.97,0.92,1.74,3.36,-2.99,-0.71,3.07,3.77,0.22,1.01,-4.15,-0.95,-0.3,-3.72,-1.32,5.64,1.53,1.04,0
1.44,-0.96,-6.06,-2.97,0.92,1.74,3.36,-2.99,-0.71,3.07,3.77,0.22,1.01,-4.15,-0.95,-0.3,-3.72,-1.32,5.64,1.53,0
0.22,1.44,-0.96,-6.06,-2.97,0.92,1.74,3.36,-2.99,-0.71,3.07,3.77,0.22,1.01,-4.15,-0.95,-0.3,-3.72,-1.32,5.64,0
-2.38,0.22,1.44,-0.96,-6.06,-2.97,0.92,1.74,3.36,-2.99,-0.71,3.07,3.77,0.22,1.01,-4.15,-0.95,-0.3,-3.72,-1.32,0
-2.51,-2.38,0.22,1.44,-0.96,-6.06,-2.97,0.92,1.74,3.36,-2.99,-0.71,3.07,3.77,0.22,1.01,-4.15,-0.95,-0.3,-3.72,0
-3.31,-2.51,-2.38,0.22,1.44,-0.96,-6.06,-2.97,0.92,1.74,3.36,-2.99,-0.71,3.07,3.77,0.22,1.01,-4.15,-0.95,-0.3,1
-2.62,-3.31,-2.51,-2.38,0.22,1.44,-0.96,-6.06,-2.97,0.92,1.74,3.36,-2.99,-0.71,3.07,3.77,0.22,1.01,-4.15,-0.95,1
0.93,-2.62,-3.31,-2.51,-2.38,0.22,1.44,-0.96,-6.06,-2.97,0.92,1.74,3.36,-2.99,-0.71,3.07,3.77,0.22,1.01,-4.15,1
2.36,0.93,-2.62,-3.31,-2.51,-2.38,0.22,1.44,-0.96,-6.06,-2.97,0.92,1.74,3.36,-2.99,-0.71,3.07,3.77,0.22,1.01,1
-3.31,2.36,0.93,-2.62,-3.31,-2.51,-2.38,0.22,1.44,-0.96,-6.06,-2.97,0.92,1.74,3.36,-2.99,-0.71,3.07,3.77,0.22,1
-0.31,-3.31,2.36,0.93,-2.62,-3.31,-2.51,-2.38,0.22,1.44,-0.96,-6.06,-2.97,0.92,1.74,3.36,-2.99,-0.71,3.07,3.77,0
-1.26,-0.31,-3.31,2.36,0.93,-2.62,-3.31,-2.51,-2.38,0.22,1.44,-0.96,-6.06,-2.97,0.92,1.74,3.36,-2.99,-0.71,3.07,1
4.56,-1.26,-0.31,-3.31,2.36,0.93,-2.62,-3.31,-2.51,-2.38,0.22,1.44,-0.96,-6.06,-2.97,0.92,1.74,3.36,-2.99,-0.71,1
-2.17,4.56,-1.26,-0.31,-3.31,2.36,0.93,-2.62,-3.31,-2.51,-2.38,0.22,1.44,-0.96,-6.06,-2.97,0.92,1.74,3.36,-2.99,1
-2.03,-2.17,4.56,-1.26,-0.31,-3.31,2.36,0.93,-2.62,-3.31,-2.51,-2.38,0.22,1.44,-0.96,-6.06,-2.97,0.92,1.74,3.36,1
4.27,-2.03,-2.17,4.56,-1.26,-0.31,-3.31,2.36,0.93,-2.62,-3.31,-2.51,-2.38,0.22,1.44,-0.96,-6.06,-2.97,0.92,1.74,0
