AccountNo,TYPE,SITEID,BillNO,SITE NAME,Due Amount,Charges For the Month,Outstanding Amount,Fine
59368,POLE,TOW0730,,Light post at Rasrani Bageecha (Location 3),,,,
,,TOW0731,,Light post at Kudakudhinge Bageecha (location 1),,,,
,,TOW0732,,Light post at Kudakudhinge Bageecha (Location 2),,,,
,,TOW0733,,Light post at Hihthan Maizan (Location 2),,,,
,,TOW0734,,Camera pole at Raiveribey Maizan,,,,
,,TOW0735,,Light post at Iskandharu Maizan,,,,
,,TOW0736,,Camera pole at Rasrani Bageecha,,,,
,,RPS047,,"K.Male, Light post at Hihthan Maizan (Location 1)",,,,
,,RPS048,,"K.Male, Light post at Tsunami Bina (Location 1)",,,,
,,RPS049,,"K.Male, Light post at Rasfannu (Location 1)",,,,
